Hypothesis,Group,Predictor,Outcome,n,Normality predictor,Normality outcome,Method,Coefficient,R2,p-value,Significance,Result,Interpretation sentence
H3,Women U20,Arm circumference (cm),Clean & Jerk (kg),60,normal,normal,Pearson r,0.759,0.576,0.0,***,statistically significant,"In Women U20, Arm circumference (cm) showed a very strong positive association with Clean & Jerk (kg) (Pearson r, r = 0.76, R² = 0.58, p < 0.001), which was statistically significant."
H3,Women U20,Arm circumference (cm),Total (kg),60,normal,normal,Pearson r,0.753,0.566,0.0,***,statistically significant,"In Women U20, Arm circumference (cm) showed a very strong positive association with Total (kg) (Pearson r, r = 0.75, R² = 0.57, p < 0.001), which was statistically significant."
H3,Women U20,Arm circumference (cm),Snatch Sinclair score,60,normal,normal,Pearson r,0.243,0.059,0.061,ns,not statistically significant,"In Women U20, Arm circumference (cm) showed a weak positive association with Snatch Sinclair score (Pearson r, r = 0.24, R² = 0.06, p = 0.061), which was not statistically significant."
H3,Women U20,Arm circumference (cm),Clean & Jerk Sinclair score,60,normal,normal,Pearson r,0.296,0.087,0.022,*,statistically significant,"In Women U20, Arm circumference (cm) showed a weak positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.30, R² = 0.09, p = 0.022), which was statistically significant."
H3,Women U20,Arm circumference (cm),Total Sinclair score (calculated),60,normal,normal,Pearson r,0.281,0.079,0.03,*,statistically significant,"In Women U20, Arm circumference (cm) showed a weak positive association with Total Sinclair score (calculated) (Pearson r, r = 0.28, R² = 0.08, p = 0.030), which was statistically significant."
H3,Women U20,Arm circumference (cm),Sinclair score,60,normal,normal,Pearson r,0.282,0.079,0.029,*,statistically significant,"In Women U20, Arm circumference (cm) showed a weak positive association with Sinclair score (Pearson r, r = 0.28, R² = 0.08, p = 0.029), which was statistically significant."
H3,Women U20,Thigh circumference (cm),Snatch (kg),60,normal,normal,Pearson r,0.445,0.198,0.0,***,statistically significant,"In Women U20, Thigh circumference (cm) showed a moderate positive association with Snatch (kg) (Pearson r, r = 0.44, R² = 0.20, p < 0.001), which was statistically significant."
H3,Women U20,Thigh circumference (cm),Clean & Jerk (kg),60,normal,normal,Pearson r,0.435,0.189,0.001,***,statistically significant,"In Women U20, Thigh circumference (cm) showed a moderate positive association with Clean & Jerk (kg) (Pearson r, r = 0.44, R² = 0.19, p < 0.001), which was statistically significant."
H3,Women U20,Thigh circumference (cm),Total (kg),60,normal,normal,Pearson r,0.445,0.198,0.0,***,statistically significant,"In Women U20, Thigh circumference (cm) showed a moderate positive association with Total (kg) (Pearson r, r = 0.45, R² = 0.20, p < 0.001), which was statistically significant."
H3,Women U20,Thigh circumference (cm),Snatch Sinclair score,60,normal,normal,Pearson r,-0.028,0.001,0.83,ns,not statistically significant,"In Women U20, Thigh circumference (cm) showed a negligible negative association with Snatch Sinclair score (Pearson r, r = -0.03, R² = 0.00, p = 0.830), which was not statistically significant."
H3,Women U20,Thigh circumference (cm),Clean & Jerk Sinclair score,60,normal,normal,Pearson r,-0.054,0.003,0.68,ns,not statistically significant,"In Women U20, Thigh circumference (cm) showed a negligible negative association with Clean & Jerk Sinclair score (Pearson r, r = -0.05, R² = 0.00, p = 0.680), which was not statistically significant."
H3,Women U20,Thigh circumference (cm),Total Sinclair score (calculated),60,normal,normal,Pearson r,-0.044,0.002,0.738,ns,not statistically significant,"In Women U20, Thigh circumference (cm) showed a negligible negative association with Total Sinclair score (calculated) (Pearson r, r = -0.04, R² = 0.00, p = 0.738), which was not statistically significant."
H3,Women U20,Thigh circumference (cm),Sinclair score,60,normal,normal,Pearson r,-0.043,0.002,0.742,ns,not statistically significant,"In Women U20, Thigh circumference (cm) showed a negligible negative association with Sinclair score (Pearson r, r = -0.04, R² = 0.00, p = 0.742), which was not statistically significant."
H3,Women U23,Arm circumference (cm),Snatch (kg),37,normal,normal,Pearson r,0.737,0.544,0.0,***,statistically significant,"In Women U23, Arm circumference (cm) showed a very strong positive association with Snatch (kg) (Pearson r, r = 0.74, R² = 0.54, p < 0.001), which was statistically significant."
H3,Women U23,Arm circumference (cm),Clean & Jerk (kg),37,normal,normal,Pearson r,0.766,0.586,0.0,***,statistically significant,"In Women U23, Arm circumference (cm) showed a very strong positive association with Clean & Jerk (kg) (Pearson r, r = 0.77, R² = 0.59, p < 0.001), which was statistically significant."
H3,Women U23,Arm circumference (cm),Total (kg),37,normal,normal,Pearson r,0.767,0.588,0.0,***,statistically significant,"In Women U23, Arm circumference (cm) showed a very strong positive association with Total (kg) (Pearson r, r = 0.77, R² = 0.59, p < 0.001), which was statistically significant."
H3,Women U23,Arm circumference (cm),Snatch Sinclair score,37,normal,normal,Pearson r,0.158,0.025,0.35,ns,not statistically significant,"In Women U23, Arm circumference (cm) showed a weak positive association with Snatch Sinclair score (Pearson r, r = 0.16, R² = 0.03, p = 0.350), which was not statistically significant."
H3,Women U23,Arm circumference (cm),Clean & Jerk Sinclair score,37,normal,normal,Pearson r,0.147,0.022,0.384,ns,not statistically significant,"In Women U23, Arm circumference (cm) showed a weak positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.15, R² = 0.02, p = 0.384), which was not statistically significant."
H3,Women U23,Arm circumference (cm),Total Sinclair score (calculated),37,normal,normal,Pearson r,0.159,0.025,0.347,ns,not statistically significant,"In Women U23, Arm circumference (cm) showed a weak positive association with Total Sinclair score (calculated) (Pearson r, r = 0.16, R² = 0.03, p = 0.347), which was not statistically significant."
H3,Women U23,Arm circumference (cm),Sinclair score,37,normal,normal,Pearson r,0.16,0.026,0.345,ns,not statistically significant,"In Women U23, Arm circumference (cm) showed a weak positive association with Sinclair score (Pearson r, r = 0.16, R² = 0.03, p = 0.345), which was not statistically significant."
H3,Women U23,Thigh circumference (cm),Snatch (kg),37,normal,normal,Pearson r,0.642,0.412,0.0,***,statistically significant,"In Women U23, Thigh circumference (cm) showed a strong positive association with Snatch (kg) (Pearson r, r = 0.64, R² = 0.41, p < 0.001), which was statistically significant."
H3,Women U23,Thigh circumference (cm),Clean & Jerk (kg),37,normal,normal,Pearson r,0.702,0.492,0.0,***,statistically significant,"In Women U23, Thigh circumference (cm) showed a very strong positive association with Clean & Jerk (kg) (Pearson r, r = 0.70, R² = 0.49, p < 0.001), which was statistically significant."
H3,Women U23,Thigh circumference (cm),Total (kg),37,normal,normal,Pearson r,0.687,0.472,0.0,***,statistically significant,"In Women U23, Thigh circumference (cm) showed a strong positive association with Total (kg) (Pearson r, r = 0.69, R² = 0.47, p < 0.001), which was statistically significant."
H3,Women U23,Thigh circumference (cm),Snatch Sinclair score,37,normal,normal,Pearson r,0.067,0.004,0.694,ns,not statistically significant,"In Women U23, Thigh circumference (cm) showed a negligible positive association with Snatch Sinclair score (Pearson r, r = 0.07, R² = 0.00, p = 0.694), which was not statistically significant."
H3,Women U23,Thigh circumference (cm),Clean & Jerk Sinclair score,37,normal,normal,Pearson r,0.098,0.01,0.564,ns,not statistically significant,"In Women U23, Thigh circumference (cm) showed a negligible positive association with Clean & Jerk Sinclair score (Pearson r, r = 0.10, R² = 0.01, p = 0.564), which was not statistically significant."
H3,Women U23,Thigh circumference (cm),Total Sinclair score (calculated),37,normal,normal,Pearson r,0.087,0.008,0.609,ns,not statistically significant,"In Women U23, Thigh circumference (cm) showed a negligible positive association with Total Sinclair score (calculated) (Pearson r, r = 0.09, R² = 0.01, p = 0.609), which was not statistically significant."
H3,Women U23,Thigh circumference (cm),Sinclair score,37,normal,normal,Pearson r,0.088,0.008,0.606,ns,not statistically significant,"In Women U23, Thigh circumference (cm) showed a negligible positive association with Sinclair score (Pearson r, r = 0.09, R² = 0.01, p = 0.606), which was not statistically significant."
H3,Whole sample,Arm circumference (cm),Snatch (kg),214,non-normal,non-normal,Spearman rho,0.812,0.659,0.0,***,statistically significant,"In Whole sample, Arm circumference (cm) showed a very strong positive association with Snatch (kg) (Spearman rho, rho = 0.81, R² = 0.66, p < 0.001), which was statistically significant."
H3,Whole sample,Arm circumference (cm),Clean & Jerk (kg),214,non-normal,non-normal,Spearman rho,0.823,0.677,0.0,***,statistically significant,"In Whole sample, Arm circumference (cm) showed a very strong positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.82, R² = 0.68, p < 0.001), which was statistically significant."
H3,Whole sample,Arm circumference (cm),Total (kg),214,non-normal,non-normal,Spearman rho,0.821,0.675,0.0,***,statistically significant,"In Whole sample, Arm circumference (cm) showed a very strong positive association with Total (kg) (Spearman rho, rho = 0.82, R² = 0.67, p < 0.001), which was statistically significant."
H3,Whole sample,Arm circumference (cm),Snatch Sinclair score,214,non-normal,non-normal,Spearman rho,0.582,0.339,0.0,***,statistically significant,"In Whole sample, Arm circumference (cm) showed a strong positive association with Snatch Sinclair score (Spearman rho, rho = 0.58, R² = 0.34, p < 0.001), which was statistically significant."
H3,Whole sample,Arm circumference (cm),Clean & Jerk Sinclair score,214,non-normal,non-normal,Spearman rho,0.59,0.348,0.0,***,statistically significant,"In Whole sample, Arm circumference (cm) showed a strong positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.59, R² = 0.35, p < 0.001), which was statistically significant."
H3,Whole sample,Arm circumference (cm),Total Sinclair score (calculated),214,non-normal,non-normal,Spearman rho,0.584,0.341,0.0,***,statistically significant,"In Whole sample, Arm circumference (cm) showed a strong positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.58, R² = 0.34, p < 0.001), which was statistically significant."
H3,Whole sample,Arm circumference (cm),Sinclair score,214,non-normal,non-normal,Spearman rho,0.584,0.342,0.0,***,statistically significant,"In Whole sample, Arm circumference (cm) showed a strong positive association with Sinclair score (Spearman rho, rho = 0.58, R² = 0.34, p < 0.001), which was statistically significant."
H3,Whole sample,Thigh circumference (cm),Snatch (kg),214,non-normal,non-normal,Spearman rho,0.467,0.219,0.0,***,statistically significant,"In Whole sample, Thigh circumference (cm) showed a moderate positive association with Snatch (kg) (Spearman rho, rho = 0.47, R² = 0.22, p < 0.001), which was statistically significant."
H3,Whole sample,Thigh circumference (cm),Clean & Jerk (kg),214,non-normal,non-normal,Spearman rho,0.478,0.228,0.0,***,statistically significant,"In Whole sample, Thigh circumference (cm) showed a moderate positive association with Clean & Jerk (kg) (Spearman rho, rho = 0.48, R² = 0.23, p < 0.001), which was statistically significant."
H3,Whole sample,Thigh circumference (cm),Total (kg),214,non-normal,non-normal,Spearman rho,0.475,0.226,0.0,***,statistically significant,"In Whole sample, Thigh circumference (cm) showed a moderate positive association with Total (kg) (Spearman rho, rho = 0.48, R² = 0.23, p < 0.001), which was statistically significant."
H3,Whole sample,Thigh circumference (cm),Snatch Sinclair score,214,non-normal,non-normal,Spearman rho,0.147,0.022,0.031,*,statistically significant,"In Whole sample, Thigh circumference (cm) showed a weak positive association with Snatch Sinclair score (Spearman rho, rho = 0.15, R² = 0.02, p = 0.031), which was statistically significant."
H3,Whole sample,Thigh circumference (cm),Clean & Jerk Sinclair score,214,non-normal,non-normal,Spearman rho,0.148,0.022,0.03,*,statistically significant,"In Whole sample, Thigh circumference (cm) showed a weak positive association with Clean & Jerk Sinclair score (Spearman rho, rho = 0.15, R² = 0.02, p = 0.030), which was statistically significant."
H3,Whole sample,Thigh circumference (cm),Total Sinclair score (calculated),214,non-normal,non-normal,Spearman rho,0.148,0.022,0.031,*,statistically significant,"In Whole sample, Thigh circumference (cm) showed a weak positive association with Total Sinclair score (calculated) (Spearman rho, rho = 0.15, R² = 0.02, p = 0.031), which was statistically significant."
H3,Whole sample,Thigh circumference (cm),Sinclair score,214,non-normal,non-normal,Spearman rho,0.148,0.022,0.03,*,statistically significant,"In Whole sample, Thigh circumference (cm) showed a weak positive association with Sinclair score (Spearman rho, rho = 0.15, R² = 0.02, p = 0.030), which was statistically significant."
